,POPULATION,ZIPCODE,Id2,disability_r,edu_high_r,edu_low_r,employment_r,hh,hh_with6_r,utility_gas_r,tank_gas_r,electricity_r,fueloil_r,coal_r,other_fuels_r,occupied_hu_own_r,occupied_hu_rent_r,built_before1980_r,married_r,non_eng_r,below_poverty_r,pop,male_pop_r,female_pop_r,elder_pop_r,white_r,black_r,asian_r,native_r,towork_less30_r,towork_over30_r
147,18018.0,11692,11692,0.175,0.2,0.269,0.493,6249.0,0.00302448391743,0.713,0.037,0.089,0.134,0.0,0.011,0.349335893743,0.650664106257,0.737,0.318,0.337,0.215,18955.0,0.479187549459,0.520812450541,0.000590873120549,0.285887628594,0.581482458454,0.0394091268795,0.00580321814825,0.207996472145,0.792003527855
148,76130.0,11235,11235,0.162,0.444,0.239,0.519,32065.0,0.000817090285358,0.772,0.021,0.051,0.12,0.0,0.018,0.404771557773,0.595228442227,0.889,0.52,0.757,0.211,76668.0,0.472778734283,0.527221265717,0.000279125580425,0.794699222622,0.0296733969844,0.134280273387,0.00397819168362,0.302368404343,0.697631595657
150,55602.0,10306,10306,0.119,0.308,0.331,0.557,20215.0,0.00105367301509,0.86,0.012,0.042,0.077,0.0,0.005,0.713480089043,0.286519910957,0.705,0.539,0.298,0.081,54939.0,0.479604652433,0.520395347567,0.000289411893191,0.886510493456,0.0220426290977,0.0606854875407,0.000837292269608,0.364957792876,0.635042207124
151,20163.0,11694,11694,0.179,0.384,0.195,0.519,7956.0,0.0022498743087,0.729,0.036,0.046,0.169,0.003,0.008,0.504022121669,0.495977878331,0.873,0.468,0.223,0.059,20773.0,0.50151639147,0.49848360853,0.000977230058249,0.818562557166,0.0780821258364,0.0366822317431,0.00216627352814,0.248321342926,0.751678657074
152,49600.0,11224,11224,0.229,0.319,0.263,0.433,18064.0,0.0011071744907,0.656,0.011,0.117,0.133,0.001,0.032,0.284100974314,0.715899025686,0.878,0.381,0.595,0.283,43001.0,0.43761772982,0.56238227018,0.000565103137136,0.603869677449,0.222832027162,0.0727424943606,0.00653473175042,0.309988595962,0.690011404038
153,27612.0,10308,10308,0.107,0.292,0.37,0.559,10675.0,0.00212646370023,0.903,0.019,0.037,0.04,0.0,0.0,0.835784543326,0.164215456674,0.689,0.543,0.208,0.073,29766.0,0.489182288517,0.510817711483,0.000540885574145,0.946952899281,0.00181415037291,0.034435261708,0.0030907747094,0.385752488486,0.614247511514
154,4079.0,11697,11697,0.144,0.488,0.245,0.553,1520.0,0.00960526315789,0.922,0.0,0.063,0.015,0.0,0.0,0.966447368421,0.0335526315789,0.618,0.534,0.024,0.035,4006.0,0.507988017973,0.492011982027,0.00506739890165,0.989016475287,0.000748876684973,0.0,0.00274588117823,0.330609679447,0.669390320553
155,58506.0,10312,10312,0.085,0.338,0.334,0.561,21530.0,0.000938225731537,0.943,0.011,0.024,0.019,0.0,0.003,0.836878773804,0.163121226196,0.53,0.576,0.2,0.065,62032.0,0.484556358009,0.515443641991,0.000264379675006,0.916285143152,0.0115101882899,0.0548910239876,0.00161207118906,0.356008654516,0.643991345484
156,33114.0,10309,10309,0.077,0.318,0.319,0.568,11052.0,0.00142055736518,0.946,0.004,0.016,0.033,0.0,0.001,0.791349981904,0.208650018096,0.223,0.56,0.23,0.095,33185.0,0.505318668073,0.494681331927,0.000334488473708,0.911164682839,0.0189844809402,0.0473406659635,0.00229019135151,0.368775609417,0.631224390583
157,14096.0,10307,10307,0.078,0.332,0.295,0.571,5110.0,0.00450097847358,0.885,0.02,0.021,0.072,0.0,0.003,0.776320939335,0.223679060665,0.376,0.549,0.145,0.063,15098.0,0.469664856272,0.530335143728,0.000774937077759,0.931447873891,0.00172208239502,0.0413962114187,0.00317922903696,0.36078125,0.63921875
158,3170.0,10280,10280,0.026,0.863,0.019,0.809,4588.0,0.00745422842197,0.263,0.0,0.597,0.116,0.0,0.022,0.243025283348,0.756974716652,0.133,0.51,0.354,0.046,9552.0,0.482621440536,0.517378559464,0.000795644891122,0.728852596315,0.018634840871,0.192629815745,0.00167504187605,0.485771342986,0.514228657014
159,66636.0,11372,11372,0.077,0.299,0.259,0.616,24793.0,0.00117775178478,0.676,0.019,0.03,0.247,0.002,0.012,0.297583995483,0.702416004517,0.956,0.373,0.814,0.183,64754.0,0.500602279396,0.499397720604,0.000210025635482,0.608441177379,0.0271643450598,0.198736757575,0.00463291842975,0.242938725112,0.757061274888
